PersonID,Age,Gender,Country,Education_Level,Income_USD
10001,49,Male,Germany,High School,77193.57
10002,46,Male,India,High School,49252.67
10003,31,Female,Japan,High School,73261.44
10004,20,Female,Japan,Bachelors,42003.5
10005,27,Female,Germany,Masters,74974.08
10006,75,Male,Germany,Masters,102244.22
10007,46,Female,USA,Bachelors,40614.56
10008,60,Male,Australia,High School,67837.09
10009,30,Female,UK,Bachelors,60283.83
10010,36,Female,USA,High School,27274.39
10011,34,Male,Australia,High School,48741.29
10012,49,Male,UK,High School,52648.8
10013,46,Female,Japan,Bachelors,47917.01
10014,62,Male,UK,Masters,45647.41
10015,38,Non-Binary,Germany,PhD,88860.84
10016,44,Male,Australia,High School,44248.13
10017,72,Female,Germany,PhD,77374.73
10018,27,Female,Canada,High School,79925.09
10019,56,Female,USA,Bachelors,48484.3
10020,37,Non-Binary,Germany,High School,29326.55
10021,26,Female,India,PhD,50619.38
10022,50,Female,UK,Bachelors,85287.96
10023,32,Female,Canada,Bachelors,37650.56
10024,37,Female,Brazil,High School,34311.64
10025,46,Male,Canada,High School,59244.66
10026,25,Male,Australia,High School,24862.17
10027,32,Male,Brazil,High School,47141.17
10028,27,Female,Australia,Bachelors,44161.03
10029,50,Non-Binary,India,High School,130832.76
10030,28,Male,Brazil,High School,29577.74
10031,63,Male,India,High School,70176.25
10032,42,Male,Japan,Masters,13641.6
10033,57,Male,Brazil,High School,56860.48
10034,55,Male,Brazil,Bachelors,70198.45
10035,73,Male,UK,High School,11929.56
10036,45,Female,USA,Bachelors,41505.38
10037,43,Female,Canada,Bachelors,39456.98
10038,29,Female,Brazil,Bachelors,61879.14
10039,41,Non-Binary,India,High School,35071.79
10040,69,Female,Canada,Bachelors,76849.08
10041,78,Female,USA,Bachelors,97372.64
10042,27,Female,Germany,High School,23052.98
10043,34,Female,Australia,High School,57322.18
10044,42,Female,USA,High School,44773.46
10045,19,Female,Germany,High School,41377.52
10046,45,Male,UK,Bachelors,97484.57
10047,29,Male,Germany,Bachelors,26514.45
10048,51,Female,Australia,Masters,85396.57
10049,48,Male,Canada,Masters,66426.51
10050,69,Female,Canada,Bachelors,64626.15
10051,63,Female,Canada,High School,85128.27
10052,59,Female,Canada,High School,33128.45
10053,63,Female,Germany,Bachelors,50270.52
10054,61,Male,USA,High School,84131.15
10055,28,Male,Australia,Bachelors,74839.7
10056,24,Male,Canada,Bachelors,39644.63
10057,61,Female,Germany,Bachelors,60624.44
10058,52,Female,Canada,Bachelors,120407.34
10059,35,Female,USA,Bachelors,15361.96
10060,47,Male,Brazil,Bachelors,30756.16
10061,66,Female,UK,Bachelors,28233.8
10062,48,Male,Canada,Bachelors,36500.42
10063,22,Male,Brazil,Bachelors,74823.9
10064,64,Female,Japan,Bachelors,25887.55
10065,20,Female,India,Masters,14312.11
10066,52,Male,Canada,Masters,33699.75
10067,41,Female,Australia,PhD,116633.87
10068,53,Female,Brazil,Masters,72973.11
