age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,poutcome,deposit_subscribed
58,blue-collar,single,tertiary,no,3157,yes,yes,cellular,894,1,unknown,yes
50,admin.,divorced,primary,no,10990,yes,no,telephone,43,2,unknown,no
27,services,married,primary,no,1084,yes,no,telephone,118,6,unknown,no
42,blue-collar,divorced,secondary,no,9633,no,no,cellular,172,1,unknown,no
23,services,single,secondary,no,9915,no,no,telephone,459,6,unknown,no
59,blue-collar,divorced,tertiary,no,11446,yes,no,telephone,1170,2,unknown,no
67,admin.,single,primary,no,6072,yes,no,telephone,465,6,unknown,no
59,self-employed,single,secondary,no,11705,no,no,telephone,847,3,unknown,no
50,self-employed,single,primary,no,2004,no,no,telephone,160,4,unknown,no
51,management,divorced,primary,no,1376,no,no,telephone,726,1,unknown,yes
18,management,divorced,primary,no,1243,no,no,cellular,343,3,failure,no
67,admin.,divorced,secondary,no,1332,no,no,telephone,520,1,unknown,no
23,blue-collar,divorced,secondary,no,11961,yes,yes,telephone,1155,2,unknown,no
45,services,divorced,tertiary,no,11180,yes,no,telephone,927,5,unknown,yes
22,retired,single,tertiary,no,9141,yes,yes,cellular,498,1,other,no
22,services,married,tertiary,no,8334,yes,no,telephone,527,4,failure,yes
24,entrepreneur,married,secondary,no,13653,no,no,cellular,154,4,failure,no
24,services,single,primary,no,1796,yes,no,cellular,184,4,failure,no
24,admin.,divorced,tertiary,no,1028,no,no,cellular,862,4,unknown,no
21,technician,married,primary,no,3845,no,no,telephone,896,6,success,yes
53,self-employed,single,primary,no,458,no,no,telephone,147,1,unknown,no
51,technician,single,tertiary,no,2544,yes,yes,cellular,856,1,success,yes
55,admin.,divorced,primary,no,9062,no,no,telephone,448,6,failure,yes
43,technician,divorced,tertiary,no,4680,no,no,cellular,968,5,success,yes
22,services,divorced,secondary,no,5218,no,no,telephone,613,2,unknown,yes
37,admin.,divorced,tertiary,no,10368,yes,no,telephone,266,1,failure,no
