TweetID,Brand_Topic,Sentiment_Label,Retweet_Count,Like_Count,User_Followers
100001,Meta,Positive,379,563,16099
100002,Microsoft,Positive,52,1116,5747
100003,Amazon,Negative,15,191,14378
100004,Microsoft,Negative,13,1149,13081
100005,Meta,Negative,279,859,14496
100006,Tesla,Negative,414,13,49779
100007,Microsoft,Neutral,174,569,10239
100008,Microsoft,Irrelevant,172,209,6128
100009,Tesla,Positive,433,704,39615
100010,Google,Neutral,373,940,35192
100011,Apple,Irrelevant,193,161,36228
100012,Google,Neutral,316,740,37887
100013,Microsoft,Neutral,23,466,19015
100014,Apple,Neutral,443,206,24961
100015,Google,Positive,427,747,10709
100016,Google,Positive,343,546,46044
100017,Meta,Negative,311,350,35055
100018,Meta,Positive,236,777,17741
100019,Meta,Neutral,112,664,3715
100020,Microsoft,Neutral,412,646,26340
100021,Google,Positive,290,644,13984
100022,Meta,Negative,329,939,9413
100023,Google,Positive,381,1149,35372
100024,Google,Neutral,219,1195,26225
100025,Google,Positive,70,1043,32393
100026,Apple,Neutral,440,224,10066
100027,Meta,Positive,348,864,39136
100028,Apple,Positive,305,958,34726
100029,Google,Irrelevant,440,23,44633
100030,Meta,Positive,274,546,42056
100031,Google,Positive,222,323,29785
100032,Apple,Irrelevant,448,539,32856
100033,Microsoft,Negative,54,611,41924
100034,Amazon,Negative,78,765,10637
100035,Amazon,Irrelevant,271,1,39302
100036,Google,Positive,57,743,20203
100037,Microsoft,Positive,449,1161,5211
100038,Apple,Negative,417,141,49896
100039,Amazon,Neutral,65,973,36081
100040,Microsoft,Positive,446,866,13930
100041,Amazon,Neutral,353,411,46773
100042,Google,Positive,343,764,28761
100043,Amazon,Negative,126,460,4246
100044,Google,Positive,283,471,38614
100045,Microsoft,Positive,362,120,15053
100046,Apple,Neutral,440,676,4693
100047,Amazon,Positive,342,994,14090
100048,Amazon,Positive,292,1180,31026
100049,Microsoft,Neutral,413,833,12528
100050,Apple,Positive,220,725,27809
100051,Tesla,Negative,373,110,44179
100052,Meta,Irrelevant,50,124,26436
100053,Meta,Positive,441,223,16345
100054,Microsoft,Positive,229,287,27698
100055,Microsoft,Positive,127,154,29091
100056,Amazon,Positive,333,1107,1017
100057,Apple,Neutral,434,484,10949
100058,Tesla,Negative,109,821,3892
100059,Microsoft,Positive,199,543,29869
100060,Google,Positive,374,1138,43426
100061,Meta,Negative,97,607,14317
100062,Apple,Negative,277,124,49069
100063,Google,Positive,299,976,33004
100064,Amazon,Positive,260,164,12228
100065,Apple,Negative,345,481,26511
100066,Apple,Neutral,291,504,37990
100067,Amazon,Positive,41,858,43131
