Accident_ID,Severity,State,City,Weather_Condition,Road_Condition,Light_Condition,Hour_Of_Day,Is_Weekend
A-100001,3,CA,San Diego,Clear,Dry,Dark - Street Lights,1,1
A-100002,2,CA,San Diego,Clear,Dry,Daylight,14,1
A-100003,1,FL,Miami,Clear,Dry,Daylight,16,0
A-100004,1,CA,Los Angeles,Clear,Dry,Daylight,16,1
A-100005,1,IL,Chicago,Clear,Dry,Daylight,6,0
A-100006,2,CA,Los Angeles,Overcast,Dry,Daylight,16,0
A-100007,1,IL,Chicago,Clear,Dry,Daylight,14,0
A-100008,3,CA,San Diego,Clear,Dry,Daylight,18,0
A-100009,3,TX,Houston,Clear,Construction Zone,Daylight,10,1
A-100010,3,TX,Houston,Clear,Dry,Daylight,13,1
A-100011,1,FL,Miami,Heavy Rain,Wet,Daylight,16,0
A-100012,3,IL,Chicago,Fog,Dry,Daylight,10,1
A-100013,2,FL,Miami,Fog,Dry,Daylight,15,0
A-100014,3,FL,Miami,Heavy Rain,Wet,Daylight,16,0
A-100015,1,IL,Chicago,Rain,Wet,Daylight,7,0
A-100016,1,CA,San Diego,Rain,Wet,Daylight,7,1
A-100017,3,NC,Charlotte,Snow,Icy,Daylight,13,0
A-100018,1,NY,New York,Clear,Dry,Daylight,17,0
A-100019,3,NY,New York,Rain,Wet,Dark - Street Lights,22,0
A-100020,2,FL,Miami,Rain,Wet,Daylight,7,0
A-100021,4,CA,Los Angeles,Clear,Dry,Daylight,14,0
A-100022,2,NY,New York,Rain,Wet,Daylight,8,1
A-100023,1,CA,San Diego,Clear,Dry,Dark - No Lights,22,0
A-100024,2,AZ,Phoenix,Heavy Rain,Wet,Dark - Street Lights,21,0
A-100025,1,IL,Chicago,Clear,Dry,Daylight,11,0
A-100026,1,FL,Miami,Heavy Rain,Wet,Daylight,14,1
A-100027,1,CA,Los Angeles,Clear,Dry,Daylight,18,1
A-100028,2,TX,Houston,Rain,Wet,Daylight,16,0
A-100029,2,AZ,Phoenix,Clear,Dry,Daylight,7,1
A-100030,1,CA,Los Angeles,Clear,Dry,Daylight,15,0
A-100031,1,CA,San Diego,Clear,Dry,Daylight,8,1
A-100032,1,FL,Miami,Snow,Snow Cover,Daylight,18,1
A-100033,2,CA,Los Angeles,Snow,Icy,Dark - Street Lights,22,0
A-100034,1,AZ,Phoenix,Clear,Dry,Dawn,19,1
A-100035,2,NC,Charlotte,Overcast,Dry,Daylight,7,0
A-100036,4,IL,Chicago,Rain,Construction Zone,Dark - Street Lights,4,0
A-100037,2,CA,San Diego,Clear,Wet,Daylight,18,1
A-100038,2,FL,Miami,Clear,Dry,Daylight,14,1
A-100039,3,IL,Chicago,Heavy Rain,Wet,Dark - Street Lights,20,1
A-100040,3,NY,New York,Fog,Dry,Daylight,12,0
A-100041,4,CA,San Diego,Clear,Construction Zone,Dusk,5,1
A-100042,4,IL,Chicago,Rain,Wet,Daylight,8,0
A-100043,4,CA,Los Angeles,Fog,Dry,Daylight,15,0
A-100044,2,NY,New York,Rain,Wet,Daylight,6,1
A-100045,3,IL,Chicago,Clear,Dry,Daylight,7,0
A-100046,2,CA,Los Angeles,Clear,Dry,Dusk,5,0
A-100047,1,NY,New York,Heavy Rain,Wet,Daylight,7,0
A-100048,1,TX,Houston,Rain,Wet,Daylight,13,0
A-100049,1,NY,New York,Overcast,Dry,Daylight,10,0
A-100050,4,FL,Miami,Rain,Construction Zone,Daylight,15,0
A-100051,2,TX,Houston,Clear,Dry,Dark - Street Lights,20,1
A-100052,4,TX,Houston,Fog,Wet,Daylight,16,0
A-100053,3,FL,Miami,Clear,Wet,Daylight,8,0
A-100054,3,FL,Miami,Clear,Wet,Daylight,7,0
A-100055,1,FL,Miami,Clear,Wet,Dark - No Lights,1,1
