square_feet,bedrooms,bathrooms,age_years,garage_spaces,price
3219,1,1,47,2,661790.22
1171,6,1,43,0,403655.02
730,1,1,13,1,244580.91
708,5,2,45,3,356720.73
3013,3,1,48,1,688175.55
1993,3,2,13,2,555108.58
2156,1,3,22,2,600348.99
3588,4,1,24,0,824247.23
3997,6,3,36,1,1037034.51
787,6,2,49,2,405563.13
4103,2,1,24,2,891084.03
4016,3,2,23,2,913043.2
1693,6,1,38,1,519372.1
1602,2,4,24,2,563885.31
3221,6,2,43,2,873231.47
3778,1,2,2,2,862916.21
871,2,3,13,3,391406.88
4345,6,4,9,2,1121113.11
3651,5,3,47,3,981590.87
2235,3,2,8,3,617534.68
792,1,2,40,1,266070.84
2329,5,1,24,3,663365.49
2517,5,3,35,0,716330.55
1069,6,3,49,2,455553.93
2380,2,4,0,2,743818.21
3720,2,1,40,2,832711.22
2679,5,2,9,2,779760.96
2809,5,1,38,2,713251.37
1058,3,3,15,0,397164.56
2923,1,1,46,3,660798.03
3715,5,2,8,3,1010915.43
1276,3,4,13,1,511117.24
2234,6,3,28,3,702035.06
1520,1,3,1,1,479200.91
629,1,1,14,0,218061.18
4121,3,1,32,1,879070.44
2588,2,2,46,3,622168.32
2537,4,2,6,0,692989.93
2051,4,4,29,0,645637.32
3246,1,1,25,2,731867.4
1047,2,2,12,3,380107.57
1351,3,4,15,0,494108.97
4128,5,1,3,0,1015576.39
4394,2,2,26,3,994832.01
4141,4,1,10,3,935092.86
2199,3,4,18,3,708882.34
3592,5,4,9,1,963721.74
839,5,1,47,2,323811.1
2992,4,2,3,0,796970.57
880,5,1,43,1,332964.93
4456,5,2,37,0,1037196.13
2317,6,3,16,1,741825.58
1886,2,3,25,1,548162.56
1828,4,3,48,0,509299.92
3144,5,1,4,1,802311.86
1142,3,1,15,2,375029.21
2394,5,3,39,0,687439.06
2871,3,1,8,2,684171.4
1038,6,2,17,2,476574.09
3539,3,2,43,2,828562.93
1628,1,1,40,3,421623.33
780,1,3,49,1,284346.03
1672,2,4,35,3,555684.01
1058,1,2,34,0,309965.51
2985,5,2,27,1,744095.67
2093,1,3,13,1,576063.53
2048,5,4,39,1,690268.97
1569,2,2,26,0,415307.49
4386,3,4,42,1,1016734.24
3825,6,1,24,0,946594.15
1511,2,4,22,2,539903.38
4168,2,2,1,1,945184.72
1741,1,3,22,3,530032.24
4055,5,3,1,0,1067771.31
1669,2,3,2,0,516303.32
2015,6,3,27,0,637965.8
2961,2,3,2,3,755750.27
4391,5,2,23,3,1028518.58
3320,3,3,42,0,811244.09
1830,5,3,42,3,602492.4
3455,3,2,12,3,879037.69
2152,6,2,39,2,645202.49
4014,1,3,18,1,909567.82
2975,5,3,29,3,835713.1
1475,5,4,50,1,551498.61
1762,5,3,5,1,625596.42
1520,2,2,1,0,438517.91
2546,5,1,29,3,717900.17
2957,2,4,31,3,774495.73
3287,6,1,48,0,807364.78
1496,2,4,3,1,550209.1
1097,4,2,29,2,436963.18
4251,4,4,35,3,1122311.03
3646,4,4,16,1,992947.37
1735,5,4,40,1,589383.79
917,6,3,15,2,478656.6
4257,5,1,8,1,975992.0
3442,2,2,4,3,839143.94
2822,4,4,3,1,850882.59
2195,5,1,48,3,602085.78
4461,3,3,48,3,1079538.49
4023,4,2,31,1,920664.26
2589,1,4,21,3,729766.28
4042,4,2,39,0,958446.93
3024,5,1,5,3,778988.49
2491,2,1,16,3,610902.64
2462,3,3,48,3,657949.55
4496,4,3,5,3,1071654.09
2809,1,3,14,0,702069.42
3269,1,1,15,1,735910.12
3144,2,2,8,3,800377.09
2910,2,4,44,2,775715.49
1287,5,1,49,1,423083.43
1042,5,1,19,3,420578.12
3528,2,1,37,1,728092.97
3764,3,1,50,0,784172.22
2354,6,3,4,2,728374.26
2320,4,1,27,2,620095.1
3994,4,2,27,1,963501.59
3264,3,4,29,3,907673.37
3026,3,3,15,0,754747.46
2446,2,4,36,3,682950.85
2624,3,2,31,1,648684.0
1658,3,3,38,2,524037.44
2716,2,1,15,3,663701.04
3705,2,4,41,3,916450.71
670,1,3,14,3,338520.21
1854,6,3,30,2,637207.42
3655,5,3,22,3,952444.51
1629,2,1,46,1,388857.66
3642,5,2,12,1,941306.6
1732,6,3,6,1,620317.92
2078,2,3,0,1,590788.7
823,5,3,44,1,399893.34
3683,4,1,0,2,893611.88
2404,3,2,3,2,695521.01
2556,1,1,25,3,572396.08
3178,6,1,9,1,852865.49
4487,3,1,15,0,977740.25
2304,5,2,49,3,654186.62
2413,3,4,19,0,696154.24
3631,1,2,40,1,765289.49
932,2,2,11,0,317912.37
2273,4,4,18,0,670406.26
3495,3,4,4,1,960850.06
3826,6,2,27,0,949622.97
3252,2,3,9,0,760775.11
3846,3,3,28,0,905068.06
1845,6,4,17,3,701531.24
3049,1,4,47,2,760471.16
705,1,2,43,0,235006.68
3353,3,1,48,1,735528.83
3268,4,3,11,3,903394.44
2614,1,4,22,3,705235.04
3344,1,2,21,3,798613.17
1780,6,4,48,0,608936.7
1888,3,3,7,3,638354.11
3978,1,4,26,0,890996.03
2081,5,4,40,3,715105.95
1433,3,2,18,3,501919.12
2585,1,1,40,1,566872.67
1872,5,1,35,3,536567.38
4046,1,4,7,1,969952.41
3535,3,3,26,3,940890.16
1598,4,2,24,1,523000.61
2681,6,2,4,2,812758.65
