CustomerID,Gender,Age,Annual_Income_k,Spending_Score_1_100,Cluster
1001,Male,19,52,47,3
1002,Male,65,36,39,2
1003,Male,55,82,6,0
1004,Male,31,31,98,1
1005,Male,53,37,94,1
1006,Female,32,117,22,0
1007,Male,66,37,87,1
1008,Female,35,21,81,1
1009,Male,23,86,27,0
1010,Female,56,70,41,3
1011,Female,52,27,10,2
1012,Female,58,136,83,4
1013,Male,63,16,19,2
1014,Female,23,18,84,1
1015,Female,47,50,51,3
1016,Female,31,67,60,3
1017,Male,56,32,75,1
1018,Male,47,97,19,0
1019,Female,67,22,7,2
1020,Female,43,47,46,3
1021,Female,31,105,34,0
1022,Male,34,22,95,1
1023,Female,65,107,97,4
1024,Female,41,19,92,1
1025,Female,23,18,14,2
1026,Male,68,118,9,0
1027,Female,42,109,93,4
1028,Female,53,36,12,2
1029,Female,67,48,49,3
1030,Female,28,80,21,0
1031,Male,50,35,24,2
1032,Male,27,69,45,3
1033,Male,56,60,40,3
1034,Male,41,52,41,3
1035,Male,54,17,36,2
1036,Male,66,129,68,4
1037,Male,60,115,15,0
1038,Female,51,107,73,4
1039,Male,63,57,60,3
1040,Female,46,108,67,4
1041,Male,32,25,6,2
1042,Male,55,15,64,1
1043,Male,32,16,26,2
1044,Male,50,23,91,1
1045,Male,52,38,96,1
1046,Female,33,131,31,0
1047,Male,24,36,32,2
1048,Female,45,109,8,0
1049,Male,21,126,26,0
1050,Male,33,21,94,1
1051,Female,26,91,22,0
1052,Female,33,29,11,2
1053,Male,59,133,60,4
1054,Male,66,20,86,1
1055,Female,48,27,63,1
1056,Male,42,27,21,2
1057,Female,36,124,36,0
1058,Male,30,51,41,3
1059,Male,65,46,41,3
1060,Female,50,90,63,4
1061,Male,29,34,9,2
1062,Male,43,33,20,2
1063,Male,57,28,38,2
1064,Female,34,36,80,1
1065,Male,34,88,24,0
1066,Female,38,15,34,2
1067,Male,22,93,92,4
1068,Female,26,73,42,3
1069,Male,41,50,54,3
1070,Female,57,80,95,4
1071,Female,60,19,21,2
1072,Male,24,89,77,4
1073,Female,56,37,81,1
1074,Male,61,61,55,3
1075,Female,21,35,32,2
1076,Female,20,25,13,2
1077,Female,28,115,32,0
1078,Male,25,37,14,2
1079,Male,41,115,69,4
1080,Female,26,24,28,2
1081,Male,40,36,75,1
1082,Male,40,136,86,4
1083,Male,33,40,71,1
1084,Female,19,38,81,1
1085,Female,69,23,70,1
1086,Male,42,30,19,2
1087,Male,70,102,24,0
1088,Male,32,36,17,2
1089,Female,39,72,42,3
1090,Female,40,105,94,4
1091,Female,19,23,16,2
1092,Female,20,34,32,2
1093,Female,64,58,59,3
1094,Male,42,92,76,4
1095,Male,63,80,38,3
1096,Male,41,84,26,0
1097,Female,60,38,24,2
1098,Female,60,100,30,0
1099,Female,53,21,86,1
1100,Female,61,34,96,1
1101,Female,43,133,60,4
1102,Female,36,28,97,1
1103,Female,47,108,18,0
1104,Female,68,36,65,1
1105,Female,50,101,65,4
1106,Male,61,52,46,3
1107,Male,19,22,35,2
1108,Male,47,136,17,0
1109,Female,49,95,14,0
1110,Male,66,39,32,2
1111,Male,29,109,63,4
1112,Male,25,88,34,0
1113,Female,66,119,37,0
1114,Female,53,137,15,0
1115,Female,46,69,47,3
1116,Female,67,111,75,4
1117,Female,46,37,23,2
1118,Male,35,55,57,3
1119,Male,26,22,84,1
1120,Male,63,17,86,1
1121,Female,39,109,86,4
1122,Male,31,104,6,0
1123,Female,48,26,24,2
1124,Female,44,127,94,4
1125,Male,49,23,87,1
1126,Female,19,101,30,0
1127,Male,47,34,94,1
1128,Male,43,116,61,4
1129,Male,59,88,34,0
1130,Male,21,57,50,3
1131,Male,47,55,52,3
1132,Female,66,96,10,0
1133,Female,19,83,82,4
1134,Male,59,39,7,2
1135,Male,33,15,69,1
1136,Male,26,122,12,0
1137,Male,47,69,51,3
1138,Male,56,127,67,4
1139,Male,37,33,6,2
1140,Female,54,105,17,0
1141,Male,55,18,79,1
1142,Male,68,130,62,4
1143,Female,52,122,28,0
1144,Male,50,45,53,3
1145,Female,24,103,34,0
1146,Male,45,38,93,1
1147,Female,57,129,90,4
1148,Female,45,97,80,4
1149,Male,23,73,54,3
1150,Male,66,116,29,0
1151,Female,19,134,25,0
1152,Male,49,26,76,1
1153,Female,35,124,77,4
1154,Male,51,17,75,1
1155,Female,49,128,75,4
1156,Female,59,108,6,0
1157,Male,36,27,75,1
1158,Female,60,103,90,4
1159,Female,45,101,82,4
1160,Female,35,53,47,3
1161,Male,64,25,67,1
1162,Male,30,38,90,1
1163,Female,64,128,93,4
1164,Female,24,24,74,1
1165,Female,29,45,57,3
1166,Male,35,16,23,2
1167,Male,58,86,5,0
1168,Female,48,108,26,0
1169,Male,21,75,55,3
1170,Male,70,27,36,2
1171,Male,54,19,14,2
1172,Female,23,18,95,1
1173,Female,56,130,74,4
1174,Female,46,99,32,0
1175,Female,54,83,66,3
1176,Male,58,23,65,1
1177,Male,33,32,64,1
1178,Male,18,108,35,0
1179,Female,20,24,78,1
1180,Female,22,23,97,1
1181,Male,45,32,19,2
1182,Male,35,17,63,1
1183,Male,68,64,58,3
1184,Female,46,29,24,2
1185,Female,35,114,91,4
1186,Female,23,82,87,4
1187,Female,56,45,42,3
1188,Male,61,117,61,4
1189,Female,54,39,16,2
1190,Female,51,97,16,0
1191,Female,58,85,35,0
