CustomerID,Gender,Age,Annual_Income_k,Spending_Score_1_100
1001,Male,19,52,47
1002,Male,65,36,39
1003,Male,55,82,6
1004,Male,31,31,98
1005,Male,53,37,94
1006,Female,32,117,22
1007,Male,66,37,87
1008,Female,35,21,81
1009,Male,23,86,27
1010,Female,56,70,41
1011,Female,52,27,10
1012,Female,58,136,83
1013,Male,63,16,19
1014,Female,23,18,84
1015,Female,47,50,51
1016,Female,31,67,60
1017,Male,56,32,75
1018,Male,47,97,19
1019,Female,67,22,7
1020,Female,43,47,46
1021,Female,31,105,34
1022,Male,34,22,95
1023,Female,65,107,97
1024,Female,41,19,92
1025,Female,23,18,14
1026,Male,68,118,9
1027,Female,42,109,93
1028,Female,53,36,12
1029,Female,67,48,49
1030,Female,28,80,21
1031,Male,50,35,24
1032,Male,27,69,45
1033,Male,56,60,40
1034,Male,41,52,41
1035,Male,54,17,36
1036,Male,66,129,68
1037,Male,60,115,15
1038,Female,51,107,73
1039,Male,63,57,60
1040,Female,46,108,67
1041,Male,32,25,6
1042,Male,55,15,64
1043,Male,32,16,26
1044,Male,50,23,91
1045,Male,52,38,96
1046,Female,33,131,31
1047,Male,24,36,32
1048,Female,45,109,8
1049,Male,21,126,26
1050,Male,33,21,94
1051,Female,26,91,22
1052,Female,33,29,11
1053,Male,59,133,60
1054,Male,66,20,86
1055,Female,48,27,63
1056,Male,42,27,21
1057,Female,36,124,36
1058,Male,30,51,41
1059,Male,65,46,41
1060,Female,50,90,63
1061,Male,29,34,9
1062,Male,43,33,20
1063,Male,57,28,38
1064,Female,34,36,80
1065,Male,34,88,24
1066,Female,38,15,34
1067,Male,22,93,92
1068,Female,26,73,42
1069,Male,41,50,54
1070,Female,57,80,95
1071,Female,60,19,21
1072,Male,24,89,77
1073,Female,56,37,81
1074,Male,61,61,55
1075,Female,21,35,32
1076,Female,20,25,13
1077,Female,28,115,32
1078,Male,25,37,14
1079,Male,41,115,69
1080,Female,26,24,28
1081,Male,40,36,75
1082,Male,40,136,86
1083,Male,33,40,71
1084,Female,19,38,81
1085,Female,69,23,70
1086,Male,42,30,19
1087,Male,70,102,24
1088,Male,32,36,17
1089,Female,39,72,42
1090,Female,40,105,94
1091,Female,19,23,16
1092,Female,20,34,32
1093,Female,64,58,59
1094,Male,42,92,76
1095,Male,63,80,38
1096,Male,41,84,26
1097,Female,60,38,24
1098,Female,60,100,30
1099,Female,53,21,86
1100,Female,61,34,96
1101,Female,43,133,60
1102,Female,36,28,97
1103,Female,47,108,18
1104,Female,68,36,65
1105,Female,50,101,65
1106,Male,61,52,46
1107,Male,19,22,35
1108,Male,47,136,17
1109,Female,49,95,14
1110,Male,66,39,32
1111,Male,29,109,63
1112,Male,25,88,34
1113,Female,66,119,37
1114,Female,53,137,15
1115,Female,46,69,47
1116,Female,67,111,75
1117,Female,46,37,23
1118,Male,35,55,57
1119,Male,26,22,84
1120,Male,63,17,86
1121,Female,39,109,86
1122,Male,31,104,6
1123,Female,48,26,24
1124,Female,44,127,94
1125,Male,49,23,87
1126,Female,19,101,30
1127,Male,47,34,94
1128,Male,43,116,61
1129,Male,59,88,34
1130,Male,21,57,50
1131,Male,47,55,52
1132,Female,66,96,10
1133,Female,19,83,82
1134,Male,59,39,7
1135,Male,33,15,69
1136,Male,26,122,12
1137,Male,47,69,51
1138,Male,56,127,67
1139,Male,37,33,6
1140,Female,54,105,17
1141,Male,55,18,79
1142,Male,68,130,62
1143,Female,52,122,28
1144,Male,50,45,53
1145,Female,24,103,34
1146,Male,45,38,93
1147,Female,57,129,90
1148,Female,45,97,80
1149,Male,23,73,54
1150,Male,66,116,29
1151,Female,19,134,25
1152,Male,49,26,76
1153,Female,35,124,77
1154,Male,51,17,75
1155,Female,49,128,75
1156,Female,59,108,6
1157,Male,36,27,75
1158,Female,60,103,90
1159,Female,45,101,82
1160,Female,35,53,47
1161,Male,64,25,67
1162,Male,30,38,90
1163,Female,64,128,93
1164,Female,24,24,74
1165,Female,29,45,57
1166,Male,35,16,23
1167,Male,58,86,5
1168,Female,48,108,26
1169,Male,21,75,55
1170,Male,70,27,36
1171,Male,54,19,14
1172,Female,23,18,95
1173,Female,56,130,74
1174,Female,46,99,32
1175,Female,54,83,66
1176,Male,58,23,65
1177,Male,33,32,64
1178,Male,18,108,35
1179,Female,20,24,78
1180,Female,22,23,97
1181,Male,45,32,19
1182,Male,35,17,63
1183,Male,68,64,58
1184,Female,46,29,24
1185,Female,35,114,91
1186,Female,23,82,87
1187,Female,56,45,42
1188,Male,61,117,61
1189,Female,54,39,16
1190,Female,51,97,16
1191,Female,58,85,35
1192,Female,44,55,43
1193,Male,39,124,36
1194,Female,60,132,7
1195,Female,23,53,50
1196,Male,67,135,37
1197,Male,60,109,86
1198,Male,30,103,91
1199,Female,66,21,22
1200,Male,36,136,36
1201,Male,19,131,75
1202,Male,37,80,95
1203,Female,23,18,89
1204,Male,59,30,78
1205,Female,44,110,20
1206,Female,53,27,72
1207,Male,22,69,53
1208,Female,68,97,60
1209,Female,64,71,58
1210,Female,27,114,35
1211,Female,39,128,94
1212,Female,47,72,46
1213,Male,54,94,31
1214,Male,38,125,29
1215,Female,60,30,62
1216,Male,50,101,66
1217,Female,24,109,60
1218,Male,44,17,90
1219,Female,39,124,85
1220,Male,39,104,80
1221,Female,52,34,9
1222,Male,58,52,42
1223,Female,24,29,15
1224,Female,19,25,8
1225,Female,40,58,44
1226,Male,51,116,16
1227,Male,29,34,29
1228,Male,49,89,74
1229,Female,58,59,48
1230,Male,69,137,23
1231,Male,22,102,24
1232,Female,62,59,49
1233,Male,42,86,20
1234,Female,54,63,49
1235,Female,19,97,5
1236,Male,56,133,23
1237,Male,56,52,60
1238,Male,57,66,44
1239,Male,58,24,33
1240,Male,55,68,44
1241,Male,36,68,53
1242,Male,30,40,94
1243,Female,51,97,70
1244,Female,70,131,23
1245,Female,69,29,9
1246,Male,66,36,85
1247,Female,23,80,21
1248,Male,47,66,48
1249,Female,70,48,47
1250,Female,19,136,95
1251,Female,57,35,64
1252,Female,62,65,53
1253,Male,26,16,24
1254,Female,25,22,39
1255,Male,42,103,39
1256,Female,55,28,66
1257,Female,57,97,7
1258,Female,31,108,20
1259,Female,24,62,60
1260,Female,21,97,17
1261,Male,70,85,18
1262,Male,21,52,44
1263,Male,22,93,97
1264,Male,70,25,69
1265,Male,35,19,94
1266,Female,69,18,61
1267,Male,18,70,47
1268,Female,19,23,63
1269,Male,65,113,12
1270,Male,48,129,28
1271,Male,46,94,62
1272,Female,47,16,35
1273,Female,45,30,33
1274,Male,23,64,44
1275,Male,26,64,60
1276,Female,42,113,78
1277,Female,50,107,66
1278,Male,59,126,73
1279,Female,46,28,81
1280,Female,43,126,11
1281,Female,45,66,48
1282,Female,27,84,10
1283,Male,23,86,28
1284,Male,53,33,26
1285,Male,44,72,53
1286,Male,36,99,82
1287,Male,54,93,69
1288,Female,32,26,28
1289,Male,66,63,47
1290,Female,53,119,95
1291,Male,56,45,45
1292,Female,62,74,50
1293,Female,18,19,96
1294,Female,22,38,61
1295,Male,65,93,84
1296,Female,47,50,51
1297,Female,64,69,58
1298,Male,21,20,63
1299,Male,35,122,32
1300,Female,56,106,22
