feature_red,feature_green,feature_blue,texture_contrast,aspect_ratio,ear_shape,label
149.93,127.23,132.95,60.23,1.06,0.83,0
171.58,145.35,110.61,50.43,1.03,0.8,0
144.84,91.73,85.5,39.38,0.95,0.88,0
121.84,101.75,149.31,42.74,1.11,0.71,0
129.11,132.22,96.98,48.76,1.01,0.82,0
127.97,167.05,119.73,34.42,1.22,0.73,0
144.18,90.81,93.44,46.97,1.21,0.87,0
137.69,123.98,90.43,37.8,1.03,0.96,0
146.87,94.74,126.48,41.15,1.0,0.91,0
160.62,148.63,103.22,41.91,1.15,0.95,0
130.42,126.29,97.87,33.04,1.22,0.99,0
138.56,150.07,127.23,38.55,1.15,1.0,0
139.28,161.29,67.61,53.22,1.11,0.82,0
141.84,90.25,115.61,48.57,1.32,0.8,0
123.83,119.96,138.31,48.29,1.02,0.9,0
141.94,149.37,105.96,41.72,1.04,0.7,0
145.92,135.22,120.1,42.65,0.89,0.81,0
133.15,113.95,116.77,49.04,1.38,0.87,0
145.15,128.51,81.62,44.73,1.11,1.1,0
136.15,136.03,119.31,33.31,1.27,0.93,0
155.82,111.81,148.06,30.98,1.19,1.07,0
120.19,118.67,121.99,39.97,0.87,0.86,0
118.75,139.47,101.61,60.5,0.98,0.82,0
156.27,105.38,124.55,58.07,0.86,0.87,0
145.2,145.64,95.26,31.8,1.18,0.88,0
145.01,136.93,106.4,47.32,1.14,0.78,0
177.32,139.48,96.17,51.57,0.95,0.93,0
163.17,113.59,139.27,49.13,1.22,1.04,0
135.09,114.93,102.21,36.84,1.09,0.88,0
145.53,146.54,120.26,59.54,1.06,1.12,0
152.51,112.86,98.58,49.82,1.07,0.92,0
149.46,128.54,103.06,29.85,1.03,0.94,0
144.28,105.09,123.46,48.85,0.97,0.87,0
141.16,107.14,127.16,50.61,1.26,0.96,0
112.45,111.24,130.3,50.14,1.18,1.24,0
151.42,152.71,139.08,51.51,1.05,0.93,0
124.54,125.26,110.29,45.82,1.45,0.66,0
153.73,97.75,110.56,55.89,1.11,0.74,0
125.69,143.59,105.39,47.16,1.11,0.78,0
182.88,142.68,79.5,46.86,1.0,0.94,0
124.15,127.71,130.1,53.66,0.92,0.82,0
130.5,116.93,155.31,49.05,0.91,0.94,0
182.44,150.65,89.61,40.16,1.29,0.78,0
148.88,145.49,101.46,44.4,0.61,0.75,0
134.95,105.04,152.65,30.7,1.03,0.86,0
168.83,101.28,143.26,45.1,0.95,0.9,0
143.98,118.0,121.4,41.15,1.12,0.92,0
171.72,105.24,162.66,25.48,1.08,0.91,0
145.62,117.55,115.84,40.07,1.01,0.93,0
147.14,116.14,137.99,48.07,1.22,0.91,0
123.42,118.8,134.95,51.1,1.1,0.86,0
165.55,118.17,130.94,42.98,1.07,0.96,0
156.51,146.27,146.11,45.21,1.2,0.82,0
146.48,127.4,121.94,50.95,0.98,1.06,0
119.88,105.72,143.16,52.92,1.19,0.91,0
139.76,112.05,121.52,38.23,1.25,0.84,0
123.49,123.57,128.26,39.36,0.98,0.87,0
144.9,119.86,110.58,47.32,0.88,0.71,0
125.63,125.73,126.22,59.75,1.23,0.83,0
139.62,109.95,119.63,42.11,1.15,0.77,0
150.39,160.65,117.82,49.02,1.2,0.81,0
144.48,130.25,121.95,37.27,1.1,0.9,0
169.02,149.19,163.06,37.33,1.23,0.87,0
183.8,113.83,103.21,39.01,0.78,0.8,0
124.82,133.01,126.84,63.76,1.24,0.79,0
122.03,139.84,93.6,63.31,1.28,0.8,0
105.74,157.08,117.71,57.38,0.86,0.79,0
140.1,130.94,111.0,51.23,0.94,0.84,0
142.41,140.29,134.23,33.75,0.87,0.98,0
146.65,115.03,151.02,46.16,1.28,0.86,0
181.21,165.11,115.02,54.72,1.2,0.99,0
120.7,143.72,141.17,27.41,0.92,0.65,0
134.61,144.35,150.05,45.74,1.34,0.71,0
105.93,128.89,127.68,44.67,0.79,0.84,0
113.91,143.39,127.33,35.6,1.02,0.74,0
138.75,149.1,100.29,50.04,1.02,0.77,0
137.86,109.3,108.93,33.02,1.39,0.85,0
126.01,134.28,117.75,42.79,1.19,0.93,0
129.39,118.48,114.5,21.98,0.87,0.99,0
172.9,125.02,131.53,48.11,1.56,0.96,0
137.44,110.89,87.87,47.03,0.99,0.71,0
127.07,108.37,153.74,53.82,1.1,1.0,0
141.55,112.77,150.46,50.39,0.94,0.83,0
122.49,102.34,138.52,64.09,0.89,0.91,0
126.99,120.26,108.15,36.36,1.11,0.77,0
145.41,129.0,115.22,35.92,1.01,0.93,0
150.02,110.45,121.99,52.51,0.85,0.9,0
126.75,141.41,104.73,26.95,0.86,0.85,0
145.19,111.91,132.77,28.38,1.09,0.73,0
126.96,130.95,102.79,41.15,1.25,0.79,0
156.71,107.41,130.6,59.42,0.73,0.77,0
151.54,125.94,127.42,38.96,1.11,0.83,0
163.36,135.09,126.75,40.88,1.03,0.81,0
147.89,121.58,125.8,65.75,1.23,0.82,0
164.02,121.84,79.24,34.92,0.82,0.81,0
140.37,163.53,126.54,42.81,1.22,0.63,0
144.71,145.42,90.43,56.44,1.15,0.81,0
152.66,175.41,123.64,47.48,1.03,0.77,0
156.61,112.88,121.43,40.22,1.17,0.88,0
160.75,119.8,114.6,35.21,1.03,0.89,0
155.14,111.56,137.39,58.56,1.16,1.04,0
124.52,105.11,84.43,59.96,1.2,0.84,0
145.6,107.49,168.92,46.29,1.12,0.92,0
149.62,134.48,104.19,49.71,1.38,0.98,0
171.86,119.78,100.21,43.74,1.11,0.96,0
106.15,160.59,116.84,40.73,0.95,0.68,0
156.46,131.47,94.2,32.05,1.05,1.02,0
134.81,99.94,115.09,42.27,0.7,0.84,0
135.38,143.92,156.98,56.27,1.06,0.74,0
191.47,131.18,120.28,44.76,1.13,0.84,0
128.53,119.06,119.34,39.57,0.99,0.86,0
134.9,160.08,66.98,55.92,1.29,0.64,0
133.15,122.57,91.85,37.22,0.93,1.03,0
158.71,155.43,134.43,33.71,1.02,0.9,0
115.56,144.26,115.19,41.25,1.21,0.89,0
132.78,153.19,98.38,51.16,1.19,0.82,0
146.52,104.98,138.48,43.15,1.02,0.95,0
125.91,101.83,88.87,51.06,0.91,1.03,0
98.36,163.93,124.22,44.03,1.02,0.89,0
139.25,152.07,122.28,46.5,1.05,0.84,0
146.16,95.8,93.04,52.43,1.13,0.83,0
140.37,136.95,109.2,37.22,1.13,0.75,0
148.17,95.95,140.58,49.73,1.14,0.95,0
173.31,150.29,83.18,32.2,1.01,0.85,0
150.35,115.49,123.74,37.45,1.01,0.71,0
121.54,102.97,100.48,55.54,0.96,1.11,0
149.87,133.7,102.83,52.0,1.01,0.86,0
191.2,128.08,142.99,37.97,1.09,1.03,0
127.46,166.25,134.16,39.38,1.19,0.95,0
152.44,98.6,105.46,42.52,1.09,0.91,0
143.55,103.29,127.6,51.11,1.18,0.96,0
156.68,139.18,118.6,28.39,1.16,0.87,0
145.43,104.47,98.38,55.53,1.09,0.92,0
140.57,130.6,138.77,39.84,1.11,0.8,0
131.31,123.82,124.44,40.21,1.29,0.76,0
136.26,121.21,148.94,46.97,1.25,0.7,0
145.34,147.79,121.65,55.65,1.02,0.99,0
185.98,122.74,111.09,59.53,1.34,0.8,0
131.6,124.36,93.11,35.81,0.95,0.77,0
139.31,134.68,151.01,35.02,1.25,0.83,0
139.01,143.5,97.55,48.82,1.12,0.9,0
145.78,179.11,107.25,39.69,1.01,0.79,0
127.25,153.78,148.41,39.29,0.98,0.9,0
128.96,142.66,124.06,29.84,1.33,1.03,0
127.74,122.25,125.72,48.34,1.2,1.05,0
136.46,114.03,92.41,37.69,1.1,1.03,0
129.65,134.48,119.67,56.88,1.48,0.8,0
130.21,150.88,133.64,63.47,1.19,0.81,0
151.81,152.17,136.41,50.07,1.26,0.97,0
167.64,142.97,116.66,46.47,1.28,0.77,0
147.37,122.13,120.57,57.78,1.13,0.85,0
112.8,144.93,132.91,66.63,1.05,0.87,0
144.99,161.55,118.09,47.79,1.19,0.87,0
131.07,133.88,141.47,34.73,1.12,0.78,0
163.9,99.54,108.82,48.77,1.33,0.84,0
128.9,167.62,91.04,23.01,1.17,0.8,0
119.58,144.17,124.88,39.36,0.91,0.94,0
