thumb_ext,index_ext,middle_ext,ring_ext,pinky_ext,gesture_id
0.975,0.943,0.982,1.0,0.938,0
0.938,1.0,0.988,0.927,0.977,0
0.927,0.927,0.962,0.854,0.864,0
0.922,0.899,0.966,0.905,0.879,0
1.0,0.939,0.953,0.879,0.923,0
0.956,0.892,0.969,0.92,0.935,0
0.92,1.0,0.949,0.897,0.991,0
0.889,0.96,0.852,0.884,0.96,0
0.987,0.959,0.944,0.935,0.876,0
0.914,0.927,1.0,0.967,0.862,0
0.966,0.931,0.916,0.981,1.0,0
0.997,0.908,0.935,0.967,0.999,0
0.926,0.941,0.895,0.89,0.991,0
1.0,0.946,1.0,0.968,0.918,0
0.968,1.0,0.948,1.0,0.819,0
0.991,0.954,0.935,0.955,0.851,0
0.939,0.968,1.0,0.924,0.91,0
0.925,0.996,0.966,0.924,0.976,0
0.955,0.998,0.915,0.934,0.93,0
0.877,0.965,0.963,0.95,0.938,0
0.879,0.929,0.933,0.91,0.942,0
0.97,1.0,0.959,0.963,0.946,0
0.854,0.949,0.953,1.0,0.94,0
0.965,0.948,0.892,1.0,0.988,0
0.99,0.905,1.0,0.88,0.979,0
1.0,0.9,0.922,0.955,0.925,0
0.872,0.953,0.897,0.974,0.904,0
1.0,0.911,0.934,0.991,0.888,0
0.961,1.0,0.87,0.959,0.963,0
0.989,0.888,0.884,0.976,0.965,0
0.963,0.967,0.916,0.962,0.965,0
0.914,1.0,0.974,0.89,0.983,0
0.901,0.989,1.0,0.909,0.998,0
0.971,0.991,1.0,0.938,0.912,0
0.906,0.909,0.946,0.967,0.964,0
0.991,0.951,1.0,0.937,1.0,0
0.981,0.907,0.896,0.974,0.939,0
0.986,0.974,0.946,0.908,0.874,0
0.928,0.993,0.961,0.888,0.959,0
0.969,0.906,0.958,0.953,0.893,0
0.968,0.978,1.0,1.0,0.881,0
0.903,0.976,0.976,0.976,1.0,0
0.979,1.0,0.998,0.983,0.934,0
0.988,0.911,0.938,0.926,0.954,0
1.0,0.857,0.984,0.869,0.926,0
1.0,0.953,0.896,0.914,0.984,0
0.913,0.961,0.952,0.917,1.0,0
0.982,0.849,0.959,0.917,0.993,0
0.91,0.944,0.975,0.993,0.89,0
0.933,0.926,0.917,1.0,0.97,0
0.887,0.996,1.0,1.0,0.874,0
0.926,1.0,0.915,0.972,0.989,0
0.904,0.947,0.788,0.899,0.937,0
0.888,1.0,0.878,0.928,0.957,0
1.0,0.878,1.0,0.951,0.901,0
0.973,0.96,0.92,0.953,0.931,0
0.956,0.983,1.0,0.888,1.0,0
0.852,0.942,0.979,0.964,0.919,0
0.94,0.925,0.921,0.992,0.968,0
0.915,0.995,0.965,0.991,0.981,0
0.909,0.922,0.987,0.981,0.949,0
0.956,1.0,0.92,0.977,0.94,0
0.939,1.0,0.991,0.991,1.0,0
0.951,0.984,0.934,0.966,0.943,0
0.955,0.98,0.909,1.0,0.9,0
0.889,1.0,0.99,0.981,0.981,0
0.949,0.905,0.954,0.916,0.999,0
0.943,0.909,0.934,0.971,0.922,0
0.909,0.962,0.962,0.925,0.926,0
0.962,0.878,0.88,0.914,0.939,0
0.966,1.0,0.993,0.942,0.949,0
0.9,0.949,0.936,0.966,0.909,0
0.976,1.0,0.945,0.97,0.985,0
0.93,0.961,0.951,0.955,0.911,0
0.951,0.975,1.0,0.998,1.0,0
0.912,0.994,0.959,1.0,0.91,0
0.908,0.92,0.844,0.924,0.912,0
0.958,0.967,1.0,0.998,0.921,0
0.905,0.975,0.884,1.0,1.0,0
0.927,0.864,1.0,0.944,1.0,0
0.87,0.92,0.95,0.952,0.927,0
0.981,0.897,0.943,0.956,0.976,0
0.986,0.894,0.873,1.0,0.967,0
0.913,1.0,0.956,1.0,0.953,0
1.0,1.0,0.938,0.999,0.982,0
1.0,0.902,0.984,1.0,0.862,0
0.891,0.848,0.937,0.986,1.0,0
0.954,1.0,0.881,0.865,0.947,0
0.969,0.948,0.847,0.946,0.885,0
0.983,0.968,0.903,0.924,0.897,0
0.947,0.998,0.901,0.975,0.923,0
0.91,0.945,0.898,0.922,0.89,0
1.0,0.952,0.915,0.961,0.944,0
0.939,0.981,0.988,0.923,0.921,0
0.936,0.835,0.874,1.0,1.0,0
0.938,0.979,0.966,1.0,1.0,0
0.944,0.902,0.87,0.96,0.912,0
0.879,0.918,0.896,1.0,0.994,0
0.95,1.0,0.954,0.907,1.0,0
0.977,0.898,0.94,0.906,0.881,0
0.996,1.0,0.88,0.978,0.917,0
0.926,0.92,0.907,0.952,0.908,0
0.964,0.947,0.938,0.905,0.921,0
0.988,0.975,0.901,0.955,0.988,0
0.867,0.977,0.917,0.979,0.912,0
0.86,0.869,0.952,0.963,0.905,0
0.982,0.867,0.947,0.889,0.917,0
0.952,0.907,0.931,1.0,0.921,0
0.992,0.894,0.976,1.0,0.826,0
0.91,0.979,0.94,0.969,0.92,0
0.954,0.942,1.0,0.963,0.967,0
0.929,0.926,0.928,0.97,0.929,0
0.964,1.0,0.994,0.934,1.0,0
0.93,0.848,0.9,0.856,0.932,0
0.951,1.0,0.966,0.939,0.991,0
0.839,0.962,0.989,0.876,1.0,0
0.967,0.929,0.982,1.0,0.959,0
0.962,0.927,0.908,0.992,0.907,0
0.954,0.926,0.974,0.967,1.0,0
0.924,0.937,0.901,0.928,0.969,0
0.988,0.904,0.993,1.0,0.971,0
1.0,0.911,0.888,0.861,1.0,0
0.983,0.947,0.964,0.894,1.0,0
0.956,0.955,0.986,0.974,0.961,0
0.91,0.974,1.0,1.0,1.0,0
0.924,0.901,0.944,0.953,1.0,0
0.865,1.0,0.942,0.929,0.899,0
0.867,0.991,0.954,0.886,0.885,0
0.933,1.0,0.937,0.875,0.938,0
0.936,0.815,0.947,0.938,0.985,0
