red_ratio,green_ratio,blue_ratio,texture_smoothness,density_est,food_label,calories_100g
0.628,0.204,0.141,0.367,0.847,Pizza,267.8
0.678,0.213,0.163,0.309,0.744,Pizza,266.1
0.505,0.23,0.197,0.463,0.744,Pizza,266.9
0.662,0.201,0.221,0.509,0.768,Pizza,262.6
0.691,0.25,0.114,0.329,0.869,Pizza,267.0
0.661,0.309,0.18,0.592,0.776,Pizza,266.5
0.666,0.293,0.229,0.473,0.841,Pizza,261.5
0.546,0.243,0.112,0.37,0.72,Pizza,263.8
0.627,0.255,0.156,0.363,0.753,Pizza,270.4
0.63,0.291,0.126,0.519,0.733,Pizza,264.8
0.698,0.296,0.184,0.505,0.869,Pizza,268.8
0.546,0.205,0.147,0.38,0.742,Pizza,270.4
0.675,0.247,0.198,0.419,0.883,Pizza,265.6
0.553,0.237,0.184,0.379,0.817,Pizza,270.0
0.58,0.233,0.25,0.453,0.718,Pizza,261.5
0.522,0.294,0.219,0.427,0.713,Pizza,264.8
0.699,0.279,0.246,0.558,0.702,Pizza,268.2
0.636,0.281,0.14,0.492,0.722,Pizza,265.3
0.591,0.343,0.231,0.379,0.8,Pizza,262.8
0.683,0.331,0.145,0.492,0.822,Pizza,262.5
0.653,0.281,0.217,0.459,0.7,Pizza,264.2
0.504,0.339,0.232,0.549,0.762,Pizza,261.6
0.676,0.342,0.113,0.446,0.714,Pizza,268.6
0.653,0.219,0.171,0.465,0.753,Pizza,269.7
0.585,0.232,0.181,0.519,0.74,Pizza,264.1
0.699,0.297,0.166,0.455,0.724,Pizza,263.2
0.568,0.288,0.135,0.366,0.714,Pizza,267.3
0.546,0.336,0.229,0.321,0.748,Pizza,267.7
0.543,0.22,0.24,0.471,0.795,Pizza,268.8
0.661,0.229,0.115,0.429,0.785,Pizza,265.7
0.646,0.301,0.248,0.33,0.781,Pizza,264.4
0.672,0.237,0.129,0.435,0.784,Pizza,263.8
0.55,0.338,0.166,0.558,0.81,Pizza,261.5
0.7,0.325,0.245,0.578,0.87,Pizza,262.7
0.597,0.232,0.16,0.318,0.776,Pizza,270.9
0.553,0.318,0.168,0.427,0.891,Pizza,271.0
0.611,0.308,0.123,0.389,0.894,Pizza,266.8
0.608,0.312,0.109,0.475,0.801,Pizza,269.5
0.531,0.344,0.112,0.356,0.819,Pizza,267.8
0.547,0.218,0.234,0.374,0.819,Pizza,267.2
0.584,0.288,0.178,0.58,0.741,Pizza,268.2
0.548,0.259,0.201,0.39,0.763,Pizza,268.5
0.515,0.269,0.25,0.599,0.715,Pizza,263.1
0.553,0.34,0.232,0.564,0.774,Pizza,262.6
0.667,0.306,0.192,0.596,0.831,Pizza,261.1
0.663,0.245,0.2,0.582,0.727,Pizza,262.2
0.521,0.283,0.141,0.481,0.844,Pizza,263.0
0.627,0.24,0.173,0.572,0.869,Pizza,261.9
0.585,0.242,0.101,0.531,0.827,Pizza,263.6
0.648,0.283,0.164,0.303,0.715,Pizza,269.8
0.681,0.282,0.225,0.475,0.73,Pizza,262.3
0.562,0.335,0.219,0.558,0.88,Pizza,263.1
0.55,0.215,0.217,0.565,0.781,Pizza,267.2
0.531,0.339,0.23,0.593,0.862,Pizza,269.8
0.505,0.31,0.15,0.579,0.86,Pizza,269.6
0.662,0.24,0.218,0.332,0.874,Pizza,269.6
0.544,0.322,0.169,0.392,0.859,Pizza,263.3
0.505,0.229,0.149,0.559,0.893,Pizza,263.8
0.628,0.26,0.247,0.461,0.888,Pizza,262.2
0.694,0.227,0.244,0.38,0.722,Pizza,265.3
0.646,0.247,0.191,0.453,0.777,Pizza,266.8
0.551,0.306,0.1,0.578,0.808,Pizza,268.2
0.648,0.301,0.155,0.321,0.833,Pizza,264.3
0.563,0.327,0.208,0.39,0.762,Pizza,265.1
0.58,0.244,0.119,0.426,0.888,Pizza,267.8
0.681,0.292,0.145,0.464,0.7,Pizza,263.9
0.586,0.287,0.198,0.439,0.788,Pizza,263.1
0.595,0.335,0.219,0.351,0.717,Pizza,266.2
0.627,0.25,0.223,0.525,0.835,Pizza,263.2
0.54,0.204,0.137,0.443,0.87,Pizza,261.7
0.583,0.294,0.129,0.509,0.799,Pizza,263.4
0.631,0.201,0.213,0.531,0.721,Pizza,265.3
0.535,0.344,0.178,0.315,0.75,Pizza,269.5
0.591,0.32,0.2,0.596,0.819,Pizza,270.5
0.678,0.292,0.208,0.451,0.866,Pizza,266.5
0.679,0.312,0.171,0.378,0.749,Pizza,267.4
0.653,0.278,0.194,0.382,0.715,Pizza,263.9
0.554,0.248,0.181,0.342,0.746,Pizza,267.9
0.641,0.21,0.161,0.463,0.783,Pizza,263.1
0.584,0.336,0.188,0.509,0.871,Pizza,268.7
0.576,0.201,0.153,0.526,0.871,Pizza,270.5
0.584,0.312,0.182,0.481,0.744,Pizza,263.2
0.587,0.204,0.15,0.504,0.781,Pizza,262.7
0.593,0.219,0.193,0.308,0.779,Pizza,266.6
0.505,0.296,0.12,0.439,0.71,Pizza,264.8
0.542,0.249,0.214,0.414,0.85,Pizza,269.3
0.55,0.212,0.103,0.462,0.9,Pizza,264.5
0.63,0.317,0.198,0.526,0.89,Pizza,263.0
0.504,0.223,0.119,0.501,0.813,Pizza,263.2
0.64,0.315,0.125,0.482,0.85,Pizza,262.1
0.664,0.345,0.116,0.308,0.762,Pizza,267.8
0.692,0.259,0.207,0.323,0.838,Pizza,267.3
0.52,0.316,0.228,0.48,0.724,Pizza,270.8
0.657,0.252,0.164,0.411,0.801,Pizza,264.4
0.67,0.323,0.116,0.588,0.827,Pizza,269.3
0.641,0.265,0.21,0.59,0.754,Pizza,269.1
0.608,0.273,0.165,0.519,0.754,Pizza,269.5
0.666,0.213,0.232,0.373,0.793,Pizza,267.1
0.576,0.204,0.228,0.355,0.742,Pizza,269.0
0.568,0.332,0.205,0.383,0.702,Pizza,270.5
0.517,0.308,0.173,0.527,0.838,Pizza,267.5
0.598,0.319,0.114,0.366,0.838,Pizza,264.1
